"자치구별(1)",자치구별(2),2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021
"자치구별(1)",자치구별(2),계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계,계
"자치구별(1)",자치구별(2),소계,소계,종합병원,종합병원,병원,병원,의원,의원,부속병의원,부속병의원,요양병원,요양병원,노인전문병원,노인전문병원,결핵병원,결핵병원,정신병원,정신병원,치과병원,치과병원,치과의원,치과의원,한방병원,한방병원,한방의원,한방의원,조산원,조산원,소계,소계,종합병원,종합병원,병원,병원,의원,의원,부속병의원,부속병의원,요양병원,요양병원,노인전문병원,노인전문병원,결핵병원,결핵병원,정신병원,정신병원,치과병원,치과병원,치과의원,치과의원,한방병원,한방병원,한방의원,한방의원,조산원,조산원,소계,소계,종합병원,종합병원,병원,병원,의원,의원,부속병의원,부속병의원,요양병원,요양병원,노인전문병원,노인전문병원,결핵병원,결핵병원,정신병원,정신병원,치과병원,치과병원,치과의원,치과의원,한방병원,한방병원,한방의원,한방의원,조산원,조산원,소계,소계,종합병원,종합병원,병원,병원,의원,의원,부속병의원,요양병원,요양병원,노인전문병원,노인전문병원,결핵병원,결핵병원,정신병원,정신병원,치과병원,치과병원,치과의원,치과의원,한방병원,한방병원,한방의원,한방의원,조산원,조산원,소계,소계,종합병원,종합병원,병원,병원,의원,의원,부속병의원,요양병원,요양병원,노인전문병원,노인전문병원,결핵병원,결핵병원,정신병원,정신병원,치과병원,치과병원,치과의원,치과의원,한방병원,한방병원,한방의원,한방의원,조산원,조산원,소계,소계,종합병원,종합병원,병원,병원,의원,의원,부속병의원,부속병의원,요양병원,요양병원,노인전문병원,노인전문병원,결핵병원,결핵병원,정신병원,정신병원,치과병원,치과병원,치과의원,치과의원,한방병원,한방병원,한방의원,한방의원,조산원,조산원,소계,소계,종합병원,종합병원,병원,병원,의원,의원,부속병의원,부속병의원,요양병원,요양병원,노인전문병원,노인전문병원,결핵병원,결핵병원,정신병원,정신병원,치과병원,치과병원,치과의원,치과의원,한방병원,한방병원,한방의원,한방의원,조산원,조산원,소계,소계,종합병원,종합병원,병원,병원,의원,의원,부속병의원,부속병의원,요양병원,요양병원,노인전문병원,노인전문병원,결핵병원,결핵병원,정신병원,정신병원,치과병원,치과병원,치과의원,치과의원,한방병원,한방병원,한방의원,한방의원,조산원,조산원
"자치구별(1)",자치구별(2),병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수,병원수,병상수
"서울시",소계,16386,85347,57,33469,206,17098,7695,13335,50,29,98,15004,8,1544,1,510,6,1737,69,119,4628,34,33,1852,3530,602,5,14,16615,84470,56,33036,212,17891,7831,12457,56,29,93,14604,8,1562,1,493,6,1637,67,107,4677,37,38,2015,3565,590,5,12,16896,86543,57,33035,213,17625,8020,12004,55,29,101,16693,8,1567,1,452,7,1916,68,102,4727,55,42,2416,3594,637,3,12,17142,86800,57,33077,214,17740,8176,11042,51,108,17913,6,1186,1,435,7,1845,64,96,4786,69,43,2657,3626,728,3,12,17302,86536,58,33318,221,18484,8336,10750,56,114,18762,4,1035,1,436,1,199,65,84,4792,59,42,2583,3609,819,3,7,17610,88029,57,33427,226,18452,8591,9826,57,1,119,20082,4,993,1,430,1,199,65,83,4821,65,53,3533,3612,932,3,6,17916,89714,56,33649,228,18675,8847,9573,57,1,122,20906,4,986,1,414,1,200,62,83,4864,65,60,4088,3611,1062,3,12,18261,91735,56,33806,220,16296,9145,9447,64,1,120,21530,4,983,1,456,12,2624,60,79,4887,65,73,4786,3616,1650,3,12
"서울시",종로구,476,3277,4,2947,2,123,167,136,6,-,-,-,-,-,-,-,-,-,1,40,167,-,1,31,128,-,-,-,473,3315,4,2949,2,121,167,174,6,-,-,-,-,-,-,-,-,-,1,40,163,-,1,31,129,-,-,-,485,3310,4,2942,2,121,175,176,7,-,-,-,-,-,-,-,-,-,1,40,163,-,1,31,132,-,-,-,500,3387,4,2978,2,153,182,185,7,-,-,-,-,-,-,-,-,1,40,168,-,1,31,135,-,-,-,496,3408,4,2970,2,225,186,170,7,-,-,-,-,-,-,-,-,1,40,163,-,-,-,133,3,-,-,494,3334,4,2945,2,233,189,113,7,-,-,-,-,-,-,-,-,-,1,40,161,-,-,-,130,3,-,-,494,3317,4,2955,2,227,197,92,7,-,-,-,-,-,-,-,-,-,1,40,157,-,-,-,126,3,-,-,489,3636,4,2996,2,228,198,104,8,0,1,96,0,0,0,0,0,0,1,40,151,0,1,149,123,23,0,0
"서울시",중구,544,1580,3,1120,2,218,202,242,18,-,-,-,-,-,-,-,-,-,7,-,214,-,-,-,98,-,-,-,528,1570,3,1125,2,218,205,227,18,-,-,-,-,-,-,-,-,-,6,-,206,-,-,-,88,-,-,-,540,1621,3,1048,3,275,217,245,16,-,-,-,-,-,-,-,-,-,6,-,206,-,1,53,88,-,-,-,543,1533,3,1035,3,261,220,184,14,-,-,-,-,-,-,-,-,5,-,208,-,1,53,89,-,-,-,558,1473,3,974,3,261,232,185,12,-,-,-,-,-,-,-,-,6,-,208,-,1,53,93,-,-,-,560,1349,2,690,4,442,233,167,13,-,-,-,-,-,-,-,-,-,6,-,207,-,1,50,94,-,-,-,572,1365,2,701,4,442,240,172,14,-,-,-,-,-,-,-,-,-,6,-,209,-,1,50,96,-,-,-,572,1286,2,804,3,239,240,173,16,0,0,0,0,0,0,0,0,0,6,0,205,0,1,50,99,20,0,0
"서울시",용산구,289,992,2,816,1,82,119,89,2,-,-,-,-,-,-,-,-,-,-,-,104,-,-,-,60,-,1,5,300,988,1,704,2,192,125,87,2,-,-,-,-,-,-,-,-,-,-,-,107,-,-,-,62,-,1,5,298,968,1,706,2,192,123,65,2,-,-,-,-,-,-,-,-,-,-,-,106,-,-,-,63,-,1,5,298,992,1,727,2,174,123,86,3,-,-,-,-,-,-,-,-,-,-,108,-,-,-,60,-,1,5,304,992,1,725,2,172,128,95,2,-,-,-,-,-,-,-,-,-,-,108,-,-,-,62,-,1,-,307,920,1,725,2,112,133,82,2,-,-,-,-,-,-,-,-,-,-,-,106,-,-,-,62,-,1,1,310,926,1,725,2,112,140,88,1,-,-,-,-,-,-,-,-,-,-,-,105,-,-,-,60,-,1,1,323,895,1,725,2,80,150,79,1,0,0,0,0,0,0,0,0,0,0,0,105,0,0,0,63,10,1,1
"서울시",성동구,381,1897,1,825,6,514,172,244,-,-,2,314,-,-,-,-,-,-,1,-,116,-,-,-,83,-,-,-,394,1785,1,828,5,456,181,187,-,-,2,314,-,-,-,-,-,-,1,-,120,-,-,-,84,-,-,-,394,1780,1,828,5,456,181,186,-,-,2,310,-,-,-,-,-,-,1,-,119,-,-,-,85,-,-,-,432,2173,1,844,7,634,197,188,-,3,507,-,-,-,-,-,-,1,-,131,-,-,-,92,-,-,-,432,1874,1,845,5,403,197,119,-,3,507,-,-,-,-,-,-,1,-,131,-,-,-,94,-,-,-,444,1941,1,855,6,434,213,135,-,-,3,517,-,-,-,-,-,-,1,-,127,-,-,-,93,-,-,-,456,1803,1,855,5,301,219,135,-,-,3,512,-,-,-,-,-,-,1,-,129,-,-,-,98,-,-,-,460,1881,1,855,6,388,225,120,0,0,3,509,0,0,0,0,0,0,1,0,125,0,0,0,99,9,0,0
"서울시",광진구,528,2579,2,1115,4,224,252,803,-,-,1,76,-,-,-,-,1,335,2,-,150,-,-,-,116,26,-,-,539,2432,2,1109,3,188,261,779,-,-,1,76,-,-,-,-,1,254,2,-,151,-,-,-,118,26,-,-,539,2310,2,1093,3,188,260,681,-,-,1,76,-,-,-,-,1,236,2,-,152,-,-,-,118,36,-,-,543,2278,2,1087,3,179,261,547,-,2,229,-,-,-,-,1,200,2,-,151,-,-,-,121,36,-,-,553,2322,2,1097,5,438,269,519,-,2,234,-,-,-,-,-,-,2,-,152,-,-,-,121,34,-,-,552,2699,2,1099,5,438,268,552,-,-,3,576,-,-,-,-,-,-,2,-,154,-,-,-,118,34,-,-,552,2591,2,1063,5,438,269,466,-,-,3,574,-,-,-,-,-,-,2,-,153,-,1,-,117,50,-,-,559,2622,2,1097,5,431,275,422,0,0,2,495,0,0,0,0,0,0,2,0,152,0,2,100,119,77,0,0
"서울시",동대문구,589,5907,5,2051,13,1501,233,624,-,-,7,960,-,-,-,-,1,500,3,26,143,-,1,240,182,-,1,5,593,6022,5,2051,13,1416,235,504,-,-,8,1275,-,-,-,-,1,500,3,26,152,-,1,240,174,5,1,5,599,6233,5,2050,13,1364,239,566,-,-,9,1468,-,-,-,-,1,500,3,26,153,-,1,240,174,14,1,5,605,6349,5,2035,14,1608,240,512,-,9,1480,-,-,-,-,1,500,3,26,154,-,1,183,177,-,1,5,603,5688,5,2002,14,1608,251,474,-,8,1390,-,-,-,-,-,-,3,26,156,-,1,183,164,-,1,5,607,5617,4,1700,14,1640,260,485,-,-,9,1578,-,-,-,-,-,-,4,26,157,-,1,183,157,-,1,5,586,5509,4,1733,13,1583,256,478,-,-,8,1506,-,-,-,-,-,-,4,26,149,-,1,170,150,8,1,5,596,5313,4,1725,11,1001,261,417,0,0,7,1363,0,0,0,0,2,510,4,18,154,2,2,208,150,64,1,5
