"시점","연령별(1)","연령별(2)",항목,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계
"시점","연령별(1)","연령별(2)",항목,종로구,중구,용산구,성동구,광진구,동대문구,중랑구,성북구,강북구,도봉구,노원구,은평구,서대문구,마포구,양천구,강서구,구로구,금천구,영등포구,동작구,관악구,서초구,강남구,송파구,강동구
"2015","계","75~79세",한국인,4953,3902,7226,7477,7524,10306,9884,12422,10183,9491,13465,13641,9784,9698,8971,11729,9584,5529,9647,10007,11755,8204,9884,11260,8473
"2015","계","80~84세",한국인,2861,2306,4180,3971,4002,5476,5307,6709,4977,5315,8117,7065,5206,5559,5265,7152,4983,2932,5388,5485,5699,4800,5719,6773,5098
"2015","계","85~89세",한국인,1400,1170,2107,1818,1921,2406,2435,3047,2218,2513,3883,3199,2374,2485,2718,3655,2282,1272,2333,2569,2606,2600,3231,3431,2783
"2015","계","90~94세",한국인,588,441,847,683,687,869,856,1056,781,890,1402,1171,883,942,965,1308,745,454,910,964,903,1123,1360,1371,1013
"2015","계","95~99세",한국인,223,162,247,206,208,266,231,345,232,196,331,290,255,270,236,326,201,144,252,297,249,316,394,359,271
"2015","계","100세 이상",한국인,209,137,289,177,155,228,147,281,227,124,219,341,199,250,132,191,137,128,218,225,243,182,214,200,184
"2016","계","소계",한국인,152737,125249,230241,299259,357215,355069,411005,450355,327195,348220,567581,491476,314194,379892,477739,595485,417551,235386,370613,400997,506851,447192,567115,657831,444168
"2016","계","60~64세",한국인,10124,8818,14595,18120,21234,23845,28519,28157,23045,24407,34318,31659,19262,20386,28653,38274,27872,16199,23663,24721,30809,25648,32626,41539,30821
"2016","계","65~69세",한국인,7411,6399,10675,12938,14402,17506,19957,20618,18172,16819,23312,23873,14545,15049,19119,26279,20552,11672,17748,18866,24225,18569,22899,27064,20287
"2016","계","70~74세",한국인,6636,5313,9093,10734,11300,14867,15415,17629,15323,13559,18349,19576,12780,13003,13453,18365,15206,8935,13716,15007,18922,13954,16765,18670,14010
"2016","계","75~79세",한국인,5263,4127,7477,7989,8121,11008,10783,13312,11103,10265,14388,14649,10247,10074,9524,12741,10298,6053,9952,10782,12989,8946,10704,12144,9022
"2016","계","80~84세",한국인,3104,2502,4553,4450,4349,5926,5784,7284,5654,5829,8613,7871,5850,5798,5617,7608,5555,3203,5907,6098,6242,5094,6109,7313,5336
"2016","계","85~89세",한국인,1480,1260,2254,1944,2029,2577,2596,3279,2373,2696,4094,3450,2486,2640,2840,3921,2380,1368,2429,2739,2742,2678,3276,3659,2877
"2016","계","90~94세",한국인,602,469,916,678,689,887,896,1099,842,938,1452,1209,899,925,985,1399,810,458,916,1007,1006,1139,1391,1455,1086
"2016","계","95~99세",한국인,234,158,264,209,228,288,257,352,256,231,384,315,281,292,266,375,208,140,290,302,264,333,441,391,299
"2016","계","100세 이상",한국인,220,160,315,198,174,242,154,305,241,129,227,361,215,279,153,201,150,147,228,251,269,193,237,222,204
"2017","계","소계",한국인,154770,125709,229161,304808,357703,350647,408226,444055,324479,344166,554403,486794,312800,374915,471154,601691,410742,235154,368550,396217,503297,441102,556164,664496,436223
"2017","계","60~64세",한국인,10490,9185,15059,19232,22093,24456,29732,28706,23691,25660,35434,32782,19983,20830,29563,40109,28681,16758,24220,25421,31047,26146,32735,43412,31146
"2017","계","65~69세",한국인,7568,6560,10775,13325,15085,17901,20717,20991,18378,17594,24308,24149,14579,15096,20192,27702,20969,12098,18043,18980,24557,18853,23691,29088,21282
"2017","계","70~74세",한국인,6581,5294,8919,10870,11576,14775,15763,17354,15322,13704,18432,19773,12686,12773,13957,19503,15713,9069,13800,15098,19061,14500,17542,19944,14500
"2017","계","75~79세",한국인,5858,4538,7956,8821,8980,12136,12182,14586,12527,11507,15713,16119,11129,10821,10359,14294,11682,6962,10956,11941,14635,9814,11693,13464,10127
"2017","계","80~84세",한국인,3320,2611,4876,4900,4777,6456,6329,7833,6252,6235,9204,8641,6301,6290,6089,8068,6043,3408,6353,6499,6903,5472,6400,7773,5609
"2017","계","85~89세",한국인,1602,1313,2388,2094,2180,2723,2784,3476,2559,2973,4359,3668,2694,2816,3035,4164,2534,1517,2652,2933,2951,2753,3461,3915,2927
"2017","계","90~94세",한국인,625,505,950,697,765,993,969,1196,905,1042,1503,1331,994,944,1055,1519,891,481,962,1062,1050,1225,1479,1607,1127
"2017","계","95~99세",한국인,250,161,312,230,250,317,280,373,277,249,421,350,289,340,299,400,231,167,299,314,299,321,446,425,302
"2017","계","100세 이상",한국인,226,166,312,215,177,246,165,312,217,141,238,369,226,276,150,195,150,140,234,244,273,181,234,226,206
"2018","계","소계",한국인,153065,125725,228999,308221,355559,348052,403209,435868,319164,339413,543752,483197,310313,375077,464185,596949,404497,233917,367778,396203,501957,433951,542364,666635,427573
"2018","계","60~64세",한국인,10933,9656,15755,20610,23417,25401,31368,29609,24660,27232,37262,34384,20946,21748,30958,41853,29703,17660,25217,26723,31902,26459,32492,45509,32492
"2018","계","65~69세",한국인,7648,6620,10782,13669,15262,17891,21095,21011,18177,17933,25011,24415,14674,15114,20842,28459,21454,12316,17929,19152,24256,18932,23611,30523,21690
"2018","계","70~74세",한국인,6569,5423,9022,11106,12069,15035,16559,17568,15771,14422,19260,20503,12802,13007,15017,20941,16610,9483,14350,15834,19861,15146,18600,21568,15692
"2018","계","75~79세",한국인,5948,4641,7973,9060,9278,12473,12770,14910,13083,12018,16043,16773,11298,11089,10833,14815,12151,7314,11365,12369,15237,10170,12141,14270,10585
"2018","계","80~84세",한국인,3538,2770,5212,5300,5234,6968,6887,8469,6860,6757,9753,9474,6776,6647,6418,8595,6755,3725,6761,7042,7666,5800,6865,8229,5974
"2018","계","85~89세",한국인,1678,1403,2521,2235,2316,2944,2896,3628,2714,3196,4650,3894,2872,3028,3191,4333,2760,1616,2898,3077,3116,2781,3504,4187,2956
"2018","계","90~94세",한국인,691,533,1000,789,825,1068,1058,1329,959,1149,1616,1417,1048,1003,1131,1663,947,568,1043,1177,1132,1241,1512,1685,1220
"2018","계","95~99세",한국인,269,181,365,241,258,353,314,399,310,305,458,403,328,361,346,430,273,181,311,347,328,406,480,501,342
"2018","계","100세 이상",한국인,231,179,337,229,190,259,169,332,229,146,241,384,247,295,163,209,155,151,249,267,292,187,244,248,210
"2019","계","소계",한국인,151290,126171,228670,300889,351350,346194,397015,442650,313954,333362,532905,480032,309397,374035,458165,591796,406664,232810,367678,395963,500094,430826,545169,675961,436067
"2019","계","60~64세",한국인,11274,9918,16313,21111,24385,26125,32757,31162,25480,28378,38667,35760,21727,22625,32396,43708,30906,18615,26082,27637,32860,27246,33279,47836,34399
"2019","계","65~69세",한국인,7854,7030,11172,14022,16066,18664,22222,21885,18697,18979,26313,25392,15065,15419,22095,29872,22521,12896,18444,19839,24683,19359,24531,32762,23374
"2019","계","70~74세",한국인,6702,5671,9201,11280,12447,15368,17252,18127,16218,14937,20295,21254,13018,13193,15926,22298,17652,9979,14850,16469,20453,15872,19823,23322,17183
"2019","계","75~79세",한국인,5836,4709,7921,9144,9496,12574,13085,15071,13369,12185,16247,16936,11172,11147,11161,15252,12721,7461,11416,12637,15758,10635,13030,15107,11227
"2019","계","80~84세",한국인,3836,3037,5506,5560,5766,7462,7588,9383,7632,7447,10463,10365,7459,7217,6839,9314,7388,4130,7304,7632,8594,6230,7350,8867,6467
"2019","계","85~89세",한국인,1837,1505,2670,2454,2496,3301,3217,3974,2925,3398,5044,4230,3120,3278,3375,4582,3107,1787,3206,3442,3412,2958,3703,4485,3145
"2019","계","90~94세",한국인,725,631,1123,868,936,1141,1189,1497,1082,1243,1748,1568,1185,1178,1240,1832,1089,602,1136,1318,1242,1362,1703,1859,1351
"2019","계","95~99세",한국인,275,204,400,234,269,384,326,399,317,316,492,425,349,354,341,471,298,173,332,370,340,412,485,510,366
"2019","계","100세 이상",한국인,253,187,353,234,205,276,186,363,234,159,252,397,277,318,170,218,156,168,269,287,305,208,271,270,228
"2020","계","소계",한국인,149384,125240,230040,293556,346682,342837,394702,437153,308055,325257,523037,479835,312173,371890,454251,580185,404408,231733,379480,391220,495060,425126,539231,667960,459970
"2020","계","60~64세",한국인,11484,10051,16834,21641,24922,26392,33891,31538,25940,28886,39210,36983,22301,22977,33204,44061,31724,19399,27013,28011,33206,27007,32978,48265,36542
"2020","계","65~69세",한국인,8464,7500,12006,14893,17538,20001,24331,23359,19952,20854,28594,27455,16257,16582,24347,32279,24259,13720,20059,21151,26037,20790,26445,35919,26702
"2020","계","70~74세",한국인,6732,5918,9415,11533,12852,15615,18085,18564,16545,15522,21234,22013,13272,13271,17183,23418,18721,10435,15723,17066,21172,16331,20595,24716,18615
"2020","계","75~79세",한국인,5768,4815,7788,9053,9576,12580,13360,15004,13542,12184,16302,17108,11032,11038,11410,15497,13083,7624,11657,12689,16004,11103,13572,15724,12017
