"광역시도","시군구","선거인수","투표수","이재명","윤석열","심상정","electionSum","electionRatio"
"대구광역시","북구",373173,294832,66469,215861,6090,288420,97.8252021490205
"대구광역시","수성구",349945,285537,59379,216031,5168,280578,98.2632723604997
"대구광역시","달서구",466792,368662,77951,275155,7361,360467,97.777096635943
"대구광역시","달성군",214088,166298,38882,120064,3407,162353,97.6277525887263
"인천광역시","중구",121916,90125,43942,41805,2296,88043,97.6898751733703
"인천광역시","동구",53909,40918,19195,19661,1196,40052,97.883572022093
"인천광역시","미추홀구",356862,253347,119287,121122,6951,247360,97.6368380126862
"인천광역시","연수구",317609,250104,111446,127768,6812,246026,98.3694782970284
"인천광역시","남동구",441525,329653,162476,150877,9232,322585,97.8559272932447
"인천광역시","부평구",424164,316024,159280,141072,8977,309329,97.8814900134167
"인천광역시","계양구",258741,193864,100532,83638,5502,189672,97.8376593900879
"인천광역시","서구",462821,346084,174908,154553,9594,339055,97.9689901873534
"인천광역시","강화군",63019,48473,17036,29267,988,47291,97.5615290986735
"인천광역시","옹진군",18659,14912,5218,8797,304,14319,96.0233369098712
"광주광역시","동구",90678,73877,60669,11036,1063,72768,98.4988562069386
"광주광역시","서구",248147,202633,170357,26262,2961,199580,98.493335241545
"광주광역시","남구",180643,148854,124572,19927,2073,146572,98.4669541967297
"광주광역시","북구",363088,295658,249976,36421,4550,290947,98.4066049286676
"광주광역시","광산구",326650,264470,224484,30865,4218,259567,98.1461035278103
"대전광역시","동구",192350,142804,65555,70069,3603,139227,97.4951682025714
"대전광역시","중구",199637,151200,66698,77459,3782,147939,97.843253968254
"대전광역시","서구",399599,304873,139877,150031,8427,298335,97.8555004870881
"대전광역시","유성구",288686,231027,108701,111342,6492,226535,98.0556385184416
"대전광역시","대덕구",152905,115404,54119,55159,3141,112419,97.4134345429968
"울산광역시","중구",182051,143171,54075,81399,3852,139326,97.314400262623
"울산광역시","남구",268213,209589,77783,121304,5251,204338,97.4946204237818
"울산광역시","동구",127599,98491,44506,47065,3427,94998,96.4534830593658
"울산광역시","북구",175732,138319,64692,64597,5072,134361,97.1384986878158
"울산광역시","울주군",188615,145891,56078,81956,3690,141724,97.1437580111179
"세종특별자치시","세종특별자치시",288895,231832,119349,101491,6780,227620,98.1831671210187
"경기도","수원시장안구",234723,183882,91842,83470,4755,180067,97.9252999206012
"경기도","수원시권선구",311536,235055,121028,103154,5754,229936,97.8222118227649
"경기도","수원시팔달구",161747,119627,58024,56051,3003,117078,97.8692101281483
"경기도","수원시영통구",295828,239154,114418,114252,6385,235055,98.2860416300794
"경기도","성남시수정구",207998,161006,86224,68806,3128,158158,98.231121821547
"경기도","성남시중원구",186278,142368,80857,56072,2799,139728,98.1456507080243
"경기도","성남시분당구",404493,335434,140966,183094,7005,331065,98.6975083026765
"경기도","의정부시",398960,295029,154851,127348,6788,288987,97.9520657291317
"경기도","안양시만안구",209083,162812,82650,73147,3901,159698,98.0873645677223
"경기도","안양시동안구",262895,216629,105221,102552,5574,213347,98.484967386638
"경기도","부천시",699678,532995,285227,224331,13249,522807,98.0885374159232
"경기도","광명시",247357,198669,103470,87112,4746,195328,98.3183083420161
"경기도","평택시",472732,338768,166032,156630,7988,330650,97.6036697681009
"경기도","양주시",197345,145562,75236,63800,3162,142198,97.6889572828073
"경기도","동두천시",81075,57532,28495,26434,1125,56054,97.4309949245637
"경기도","안산시상록구",303413,222254,121488,90654,5103,217245,97.7462722830635
"경기도","안산시단원구",260659,192948,103595,80605,4563,188763,97.8310218297158
"경기도","고양시덕양구",414210,323033,167037,139914,10643,317594,98.3162710930462
"경기도","고양시일산동구",256654,197004,96990,91849,5032,193871,98.4096769608739
